Number of training samples for the male class: 720
Number of training samples for the female class: 1680
Number of features: 12
Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.09277372876819186
Lambda: 1.5998587196060572e-05 , cost: 0.09277372876819186
Lambda: 2.559547922699533e-05 , cost: 0.09277372876819186
Lambda: 4.094915062380427e-05 , cost: 0.09277372876819186
Lambda: 6.55128556859551e-05 , cost: 0.09277372876819186
Lambda: 0.00010481131341546853 , cost: 0.09277372876819186
Lambda: 0.00016768329368110083 , cost: 0.09277372876819186
Lambda: 0.0002682695795279727 , cost: 0.09277372876819186
Lambda: 0.00042919342601287783 , cost: 0.09186365756850388
Lambda: 0.0006866488450042998 , cost: 0.09275078579677115
Lambda: 0.0010985411419875584 , cost: 0.09099947231165731
Lambda: 0.001757510624854793 , cost: 0.09099947231165731
Lambda: 0.002811768697974231 , cost: 0.094502099281885
Lambda: 0.004498432668969444 , cost: 0.10064316796549376
Lambda: 0.0071968567300115215 , cost: 0.10853555013421638
Lambda: 0.011513953993264481 , cost: 0.12156715790117698
Lambda: 0.018420699693267165 , cost: 0.13291628109728584
Lambda: 0.029470517025518096 , cost: 0.1426517486368051
Lambda: 0.04714866363457394 , cost: 0.150521187834107
Lambda: 0.07543120063354623 , cost: 0.16803432268524537
Lambda: 0.1206792640639329 , cost: 0.18456855742243364
Lambda: 0.19306977288832497 , cost: 0.19766899410365635
Lambda: 0.30888435964774846 , cost: 0.22043606941013622
Lambda: 0.49417133613238384 , cost: 0.2439985010592005
Lambda: 0.7906043210907702 , cost: 0.2737937732775564
Lambda: 1.2648552168552958 , cost: 0.32105629440420924
Lambda: 2.0235896477251556 , cost: 0.35767327679165484
Lambda: 3.2374575428176464 , cost: 0.3856942925534762
Lambda: 5.1794746792312125 , cost: 0.39679104306395735
Lambda: 8.286427728546842 , cost: 0.3941526013505763
Lambda: 13.257113655901108 , cost: 0.39588097186426935
Lambda: 21.209508879201927 , cost: 0.40552466751810584
Lambda: 33.9322177189533 , cost: 0.40989147974518003
Lambda: 54.286754393238596 , cost: 0.4142582919722543
Lambda: 86.85113737513521 , cost: 0.4160325484287889
Lambda: 138.9495494373139 , cost: 0.4160325484287889
Lambda: 222.29964825261956 , cost: 0.4160325484287889
Lambda: 355.64803062231283 , cost: 0.4177838619139027
Lambda: 568.9866029018305 , cost: 0.4177838619139027
Lambda: 910.2981779915227 , cost: 0.4177838619139027
Lambda: 1456.3484775012444 , cost: 0.4195351753990165
Lambda: 2329.951810515372 , cost: 0.4195351753990165
Lambda: 3727.593720314938 , cost: 0.4195351753990165
Lambda: 5963.623316594637 , cost: 0.4195351753990165
Lambda: 9540.954763499964 , cost: 0.4195351753990165
Lambda: 15264.179671752365 , cost: 0.4195351753990165
Lambda: 24420.53094548655 , cost: 0.4177838619139027
Lambda: 39069.39937054621 , cost: 0.4177838619139027
Lambda: 62505.51925273976 , cost: 0.4177838619139027
Lambda: 100000.0 , cost: 0.4177838619139027
Data for prior 0.1 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.2325117200345674
Lambda: 1.5998587196060572e-05 , cost: 0.2325117200345674
Lambda: 2.559547922699533e-05 , cost: 0.2325117200345674
Lambda: 4.094915062380427e-05 , cost: 0.2325117200345674
Lambda: 6.55128556859551e-05 , cost: 0.2325117200345674
Lambda: 0.00010481131341546853 , cost: 0.2325117200345674
Lambda: 0.00016768329368110083 , cost: 0.2325117200345674
Lambda: 0.0002682695795279727 , cost: 0.2325117200345674
Lambda: 0.00042919342601287783 , cost: 0.23776566048990894
Lambda: 0.0006866488450042998 , cost: 0.23951697397502275
Lambda: 0.0010985411419875584 , cost: 0.22998799317828986
Lambda: 0.001757510624854793 , cost: 0.2142261718122653
Lambda: 0.002811768697974231 , cost: 0.22123142575272065
Lambda: 0.004498432668969444 , cost: 0.2126813450699378
Lambda: 0.0071968567300115215 , cost: 0.20042215067414096
Lambda: 0.011513953993264481 , cost: 0.20392477764436862
Lambda: 0.018420699693267165 , cost: 0.21870769889644306
Lambda: 0.029470517025518096 , cost: 0.26424184950940277
Lambda: 0.04714866363457394 , cost: 0.30725227326608495
Lambda: 0.07543120063354623 , cost: 0.29772329246935203
Lambda: 0.1206792640639329 , cost: 0.34655358330975305
Lambda: 0.19306977288832497 , cost: 0.39306663403666287
Lambda: 0.30888435964774846 , cost: 0.4508599790454194
Lambda: 0.49417133613238384 , cost: 0.5294625991327557
Lambda: 0.7906043210907702 , cost: 0.6102295061907784
Lambda: 1.2648552168552958 , cost: 0.6610175972590798
Lambda: 2.0235896477251556 , cost: 0.6970227670753065
Lambda: 3.2374575428176464 , cost: 0.7145359019264448
Lambda: 5.1794746792312125 , cost: 0.7215411558669002
Lambda: 8.286427728546842 , cost: 0.7215411558669002
Lambda: 13.257113655901108 , cost: 0.7250437828371279
Lambda: 21.209508879201927 , cost: 0.7250437828371279
Lambda: 33.9322177189533 , cost: 0.7267950963222417
Lambda: 54.286754393238596 , cost: 0.7285464098073555
Lambda: 86.85113737513521 , cost: 0.7302977232924693
Lambda: 138.9495494373139 , cost: 0.7302977232924693
Lambda: 222.29964825261956 , cost: 0.7302977232924693
Lambda: 355.64803062231283 , cost: 0.7302977232924693
Lambda: 568.9866029018305 , cost: 0.7302977232924693
Lambda: 910.2981779915227 , cost: 0.7285464098073555
Lambda: 1456.3484775012444 , cost: 0.7285464098073555
Lambda: 2329.951810515372 , cost: 0.7285464098073555
Lambda: 3727.593720314938 , cost: 0.7285464098073555
Lambda: 5963.623316594637 , cost: 0.7285464098073555
Lambda: 9540.954763499964 , cost: 0.7285464098073555
Lambda: 15264.179671752365 , cost: 0.7285464098073555
Lambda: 24420.53094548655 , cost: 0.7285464098073555
Lambda: 39069.39937054621 , cost: 0.7285464098073555
Lambda: 62505.51925273976 , cost: 0.7285464098073555
Lambda: 100000.0 , cost: 0.7285464098073555
Data for prior 0.9 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.22823667969317601
Lambda: 1.5998587196060572e-05 , cost: 0.22823667969317601
Lambda: 2.559547922699533e-05 , cost: 0.22823667969317601
Lambda: 4.094915062380427e-05 , cost: 0.22823667969317601
Lambda: 6.55128556859551e-05 , cost: 0.22823667969317601
Lambda: 0.00010481131341546853 , cost: 0.23260349192025026
Lambda: 0.00016768329368110083 , cost: 0.23260349192025026
Lambda: 0.0002682695795279727 , cost: 0.24133711637439872
Lambda: 0.00042919342601287783 , cost: 0.24836531328627479
Lambda: 0.0006866488450042998 , cost: 0.24836531328627479
Lambda: 0.0010985411419875584 , cost: 0.24836531328627479
Lambda: 0.001757510624854793 , cost: 0.2789329988757944
Lambda: 0.002811768697974231 , cost: 0.3043844018384968
Lambda: 0.004498432668969444 , cost: 0.31748483851971954
Lambda: 0.0071968567300115215 , cost: 0.3463470965669668
Lambda: 0.011513953993264481 , cost: 0.3846924494681055
Lambda: 0.018420699693267165 , cost: 0.4213323748269718
Lambda: 0.029470517025518096 , cost: 0.4336833411084514
Lambda: 0.04714866363457394 , cost: 0.48608508783334237
Lambda: 0.07543120063354623 , cost: 0.5350759794736883
Lambda: 0.1206792640639329 , cost: 0.5578659977515888
Lambda: 0.19306977288832497 , cost: 0.5797000588869601
Lambda: 0.30888435964774846 , cost: 0.6241176515574454
Lambda: 0.49417133613238384 , cost: 0.6529799096046928
Lambda: 0.7906043210907702 , cost: 0.6704471585129896
Lambda: 1.2648552168552958 , cost: 0.679180782967138
Lambda: 2.0235896477251556 , cost: 0.7107044256991871
Lambda: 3.2374575428176464 , cost: 0.7262597603224252
Lambda: 5.1794746792312125 , cost: 0.7262597603224252
Lambda: 8.286427728546842 , cost: 0.7410656245459203
Lambda: 13.257113655901108 , cost: 0.7403161541461774
Lambda: 21.209508879201927 , cost: 0.7393601970036479
Lambda: 33.9322177189533 , cost: 0.7325384868345584
Lambda: 54.286754393238596 , cost: 0.7325384868345584
Lambda: 86.85113737513521 , cost: 0.7325384868345584
Lambda: 138.9495494373139 , cost: 0.7325384868345584
Lambda: 222.29964825261956 , cost: 0.7325384868345584
Lambda: 355.64803062231283 , cost: 0.7325384868345584
Lambda: 568.9866029018305 , cost: 0.7325384868345584
Lambda: 910.2981779915227 , cost: 0.7325384868345584
Lambda: 1456.3484775012444 , cost: 0.7325384868345584
Lambda: 2329.951810515372 , cost: 0.7325384868345584
Lambda: 3727.593720314938 , cost: 0.7325384868345584
Lambda: 5963.623316594637 , cost: 0.7325384868345584
Lambda: 9540.954763499964 , cost: 0.7325384868345584
Lambda: 15264.179671752365 , cost: 0.7325384868345584
Lambda: 24420.53094548655 , cost: 0.7325384868345584
Lambda: 39069.39937054621 , cost: 0.7325384868345584
Lambda: 62505.51925273976 , cost: 0.7325384868345584
Lambda: 100000.0 , cost: 0.7325384868345584

 Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.2439985010592005
Lambda: 1.5998587196060572e-05 , cost: 0.2439985010592005
Lambda: 2.559547922699533e-05 , cost: 0.2439985010592005
Lambda: 4.094915062380427e-05 , cost: 0.2439985010592005
Lambda: 6.55128556859551e-05 , cost: 0.2439985010592005
Lambda: 0.00010481131341546853 , cost: 0.2439985010592005
Lambda: 0.00016768329368110083 , cost: 0.24224718757408667
Lambda: 0.0002682695795279727 , cost: 0.24224718757408667
Lambda: 0.00042919342601287783 , cost: 0.24224718757408667
Lambda: 0.0006866488450042998 , cost: 0.2439985010592005
Lambda: 0.0010985411419875584 , cost: 0.24486268631604707
Lambda: 0.001757510624854793 , cost: 0.24486268631604707
Lambda: 0.002811768697974231 , cost: 0.2466139998011609
Lambda: 0.004498432668969444 , cost: 0.24922949854312132
Lambda: 0.0071968567300115215 , cost: 0.24750112802942817
Lambda: 0.011513953993264481 , cost: 0.2413600593458194
Lambda: 0.018420699693267165 , cost: 0.2465910568297402
Lambda: 0.029470517025518096 , cost: 0.24488562928746777
Lambda: 0.04714866363457394 , cost: 0.24927538448596273
